Delivery Date,Delivery Hour,Settlement Point,Settlement Point Price
01/01/2022,1,HB_HOUSTON,33.2
01/01/2022,1,HB_NORTH,33.41
01/01/2022,1,HB_SOUTH,30.17
01/01/2022,1,HB_WEST,33.97
01/01/2022,2,HB_HOUSTON,25.65
01/01/2022,2,HB_NORTH,25.22
01/01/2022,2,HB_SOUTH,22.08
01/01/2022,2,HB_WEST,25.52
01/01/2022,3,HB_HOUSTON,23.01
01/01/2022,3,HB_NORTH,22.91
01/01/2022,3,HB_SOUTH,19.97
01/01/2022,3,HB_WEST,22.91
01/01/2022,4,HB_HOUSTON,18.56
01/01/2022,4,HB_NORTH,18.41
01/01/2022,4,HB_SOUTH,15.9
01/01/2022,4,HB_WEST,16.13
01/01/2022,5,HB_HOUSTON,12.74
01/01/2022,5,HB_NORTH,12.19
01/01/2022,5,HB_SOUTH,10
01/01/2022,5,HB_WEST,8.13
01/01/2022,6,HB_HOUSTON,15.62
01/01/2022,6,HB_NORTH,14.92
01/01/2022,6,HB_SOUTH,12.93
01/01/2022,6,HB_WEST,9.66
01/01/2022,7,HB_HOUSTON,17.11
01/01/2022,7,HB_NORTH,16
01/01/2022,7,HB_SOUTH,13.76
01/01/2022,7,HB_WEST,5.3
01/01/2022,8,HB_HOUSTON,18.78
01/01/2022,8,HB_NORTH,17
01/01/2022,8,HB_SOUTH,14.88
01/01/2022,8,HB_WEST,5.08
01/01/2022,9,HB_HOUSTON,19.87
01/01/2022,9,HB_NORTH,17.39
01/01/2022,9,HB_SOUTH,15.74
01/01/2022,9,HB_WEST,3.12
01/01/2022,10,HB_HOUSTON,21.38
01/01/2022,10,HB_NORTH,18.63
01/01/2022,10,HB_SOUTH,16.83
01/01/2022,10,HB_WEST,0.75
01/01/2022,11,HB_HOUSTON,24.05
01/01/2022,11,HB_NORTH,20.86
01/01/2022,11,HB_SOUTH,19.87
01/01/2022,11,HB_WEST,-0.28
01/01/2022,12,HB_HOUSTON,27.21
01/01/2022,12,HB_NORTH,24.44
01/01/2022,12,HB_SOUTH,24.03
01/01/2022,12,HB_WEST,0.24
01/01/2022,13,HB_HOUSTON,28.3
01/01/2022,13,HB_NORTH,25.02
01/01/2022,13,HB_SOUTH,26.02
01/01/2022,13,HB_WEST,-0.28
01/01/2022,14,HB_HOUSTON,29.71
01/01/2022,14,HB_NORTH,25.88
01/01/2022,14,HB_SOUTH,27.94
01/01/2022,14,HB_WEST,-0.28
01/01/2022,15,HB_HOUSTON,29.94
01/01/2022,15,HB_NORTH,25.28
01/01/2022,15,HB_SOUTH,29.42
01/01/2022,15,HB_WEST,-0.29
01/01/2022,16,HB_HOUSTON,28.37
01/01/2022,16,HB_NORTH,23.59
01/01/2022,16,HB_SOUTH,28.08
01/01/2022,16,HB_WEST,-0.2
01/01/2022,17,HB_HOUSTON,33
01/01/2022,17,HB_NORTH,29
01/01/2022,17,HB_SOUTH,32.78
01/01/2022,17,HB_WEST,11.61
01/01/2022,18,HB_HOUSTON,43.67
01/01/2022,18,HB_NORTH,41.49
01/01/2022,18,HB_SOUTH,43.72
01/01/2022,18,HB_WEST,30.33
01/01/2022,19,HB_HOUSTON,30.21
01/01/2022,19,HB_NORTH,29.11
01/01/2022,19,HB_SOUTH,28.79
01/01/2022,19,HB_WEST,21.38
01/01/2022,20,HB_HOUSTON,27.31
01/01/2022,20,HB_NORTH,26.11
01/01/2022,20,HB_SOUTH,25.55
01/01/2022,20,HB_WEST,17.16
01/01/2022,21,HB_HOUSTON,24.8
01/01/2022,21,HB_NORTH,23.36
01/01/2022,21,HB_SOUTH,22.79
01/01/2022,21,HB_WEST,13.5
