Delivery Date,Delivery Hour,Delivery Interval,Settlement Point,Settlement Point Price
01/01/2022,1,1,HB_HOUSTON,52.82
01/01/2022,1,2,HB_HOUSTON,118.99
01/01/2022,1,3,HB_HOUSTON,40.82
01/01/2022,1,4,HB_HOUSTON,34.91
01/01/2022,1,1,HB_NORTH,53.94
01/01/2022,1,2,HB_NORTH,125.73
01/01/2022,1,3,HB_NORTH,42.02
01/01/2022,1,4,HB_NORTH,35.75
01/01/2022,1,1,HB_SOUTH,48.97
01/01/2022,1,2,HB_SOUTH,106.25
01/01/2022,1,3,HB_SOUTH,37.89
01/01/2022,1,4,HB_SOUTH,32.6
01/01/2022,1,1,HB_WEST,54.39
01/01/2022,1,2,HB_WEST,127.4
01/01/2022,1,3,HB_WEST,42.46
01/01/2022,1,4,HB_WEST,36.11
01/01/2022,2,1,HB_HOUSTON,32.04
01/01/2022,2,2,HB_HOUSTON,30.84
01/01/2022,2,3,HB_HOUSTON,33.16
01/01/2022,2,4,HB_HOUSTON,30.27
01/01/2022,2,1,HB_NORTH,32.87
01/01/2022,2,2,HB_NORTH,31.65
01/01/2022,2,3,HB_NORTH,33.97
01/01/2022,2,4,HB_NORTH,31.3
01/01/2022,2,1,HB_SOUTH,29.64
01/01/2022,2,2,HB_SOUTH,28.49
01/01/2022,2,3,HB_SOUTH,30.92
01/01/2022,2,4,HB_SOUTH,27.92
01/01/2022,2,1,HB_WEST,33.22
01/01/2022,2,2,HB_WEST,32
01/01/2022,2,3,HB_WEST,34.33
01/01/2022,2,4,HB_WEST,31.7
01/01/2022,3,1,HB_HOUSTON,28.89
01/01/2022,3,2,HB_HOUSTON,24.17
01/01/2022,3,3,HB_HOUSTON,22.81
01/01/2022,3,4,HB_HOUSTON,22.6
01/01/2022,3,1,HB_NORTH,29.91
01/01/2022,3,2,HB_NORTH,25.11
01/01/2022,3,3,HB_NORTH,23.62
01/01/2022,3,4,HB_NORTH,23.52
01/01/2022,3,1,HB_SOUTH,26
01/01/2022,3,2,HB_SOUTH,21.76
01/01/2022,3,3,HB_SOUTH,20.54
01/01/2022,3,4,HB_SOUTH,20.28
01/01/2022,3,1,HB_WEST,30.35
01/01/2022,3,2,HB_WEST,25.51
01/01/2022,3,3,HB_WEST,23.96
01/01/2022,3,4,HB_WEST,23.93
01/01/2022,4,1,HB_HOUSTON,22.85
01/01/2022,4,2,HB_HOUSTON,22.22
01/01/2022,4,3,HB_HOUSTON,21.83
01/01/2022,4,4,HB_HOUSTON,20.77
01/01/2022,4,1,HB_NORTH,23.39
01/01/2022,4,2,HB_NORTH,22.74
01/01/2022,4,3,HB_NORTH,22.31
01/01/2022,4,4,HB_NORTH,21.23
01/01/2022,4,1,HB_SOUTH,20.63
01/01/2022,4,2,HB_SOUTH,20.04
01/01/2022,4,3,HB_SOUTH,19.36
01/01/2022,4,4,HB_SOUTH,18.31
01/01/2022,4,1,HB_WEST,23.59
01/01/2022,4,2,HB_WEST,22.93
01/01/2022,4,3,HB_WEST,22.47
01/01/2022,4,4,HB_WEST,21.38
01/01/2022,5,1,HB_HOUSTON,8.23
01/01/2022,5,2,HB_HOUSTON,12.68
01/01/2022,5,3,HB_HOUSTON,19.96
01/01/2022,5,4,HB_HOUSTON,21.23
01/01/2022,5,1,HB_NORTH,8.58
01/01/2022,5,2,HB_NORTH,13.12
01/01/2022,5,3,HB_NORTH,20.4
01/01/2022,5,4,HB_NORTH,21.69
01/01/2022,5,1,HB_SOUTH,7
01/01/2022,5,2,HB_SOUTH,11.22
01/01/2022,5,3,HB_SOUTH,17.58
01/01/2022,5,4,HB_SOUTH,18.85
01/01/2022,5,1,HB_WEST,8.72
01/01/2022,5,2,HB_WEST,13.3
01/01/2022,5,3,HB_WEST,20.57
01/01/2022,5,4,HB_WEST,21.87
01/01/2022,6,1,HB_HOUSTON,21.73
01/01/2022,6,2,HB_HOUSTON,15.25
01/01/2022,6,3,HB_HOUSTON,2.49
01/01/2022,6,4,HB_HOUSTON,14.09
01/01/2022,6,1,HB_NORTH,22.15
01/01/2022,6,2,HB_NORTH,15.64
01/01/2022,6,3,HB_NORTH,2.37
01/01/2022,6,4,HB_NORTH,13.93
01/01/2022,6,1,HB_SOUTH,19.12
01/01/2022,6,2,HB_SOUTH,13.16
01/01/2022,6,3,HB_SOUTH,1.36
01/01/2022,6,4,HB_SOUTH,12.64
01/01/2022,6,1,HB_WEST,22.37
01/01/2022,6,2,HB_WEST,15.85
01/01/2022,6,3,HB_WEST,2.37
01/01/2022,6,4,HB_WEST,13.92
01/01/2022,7,1,HB_HOUSTON,7.65
01/01/2022,7,2,HB_HOUSTON,4.14
01/01/2022,7,3,HB_HOUSTON,14.81
01/01/2022,7,4,HB_HOUSTON,19.9
01/01/2022,7,1,HB_NORTH,7.52
01/01/2022,7,2,HB_NORTH,4.02
01/01/2022,7,3,HB_NORTH,14.66
01/01/2022,7,4,HB_NORTH,19.73
01/01/2022,7,1,HB_SOUTH,6.38
01/01/2022,7,2,HB_SOUTH,2.98
01/01/2022,7,3,HB_SOUTH,13.35
01/01/2022,7,4,HB_SOUTH,18.29
01/01/2022,7,1,HB_WEST,7.51
01/01/2022,7,2,HB_WEST,4.01
01/01/2022,7,3,HB_WEST,14.65
01/01/2022,7,4,HB_WEST,19.73
01/01/2022,8,1,HB_HOUSTON,19.85
01/01/2022,8,2,HB_HOUSTON,9.18
01/01/2022,8,3,HB_HOUSTON,1.97
01/01/2022,8,4,HB_HOUSTON,14.12
01/01/2022,8,1,HB_NORTH,19.69
01/01/2022,8,2,HB_NORTH,9.06
01/01/2022,8,3,HB_NORTH,1.9
01/01/2022,8,4,HB_NORTH,14.13
01/01/2022,8,1,HB_SOUTH,18.24
01/01/2022,8,2,HB_SOUTH,7.95
01/01/2022,8,3,HB_SOUTH,1.28
01/01/2022,8,4,HB_SOUTH,14.06
01/01/2022,8,1,HB_WEST,19.68
01/01/2022,8,2,HB_WEST,9.05
01/01/2022,8,3,HB_WEST,1.9
01/01/2022,8,4,HB_WEST,14.13
01/01/2022,9,1,HB_HOUSTON,20.36
01/01/2022,9,2,HB_HOUSTON,19.44
01/01/2022,9,3,HB_HOUSTON,0.83
01/01/2022,9,4,HB_HOUSTON,-0.13
01/01/2022,9,1,HB_NORTH,20.59
01/01/2022,9,2,HB_NORTH,19.66
01/01/2022,9,3,HB_NORTH,0.88
01/01/2022,9,4,HB_NORTH,-0.04
01/01/2022,9,1,HB_SOUTH,18.52
01/01/2022,9,2,HB_SOUTH,17.64
01/01/2022,9,3,HB_SOUTH,0.45
01/01/2022,9,4,HB_SOUTH,-0.84
01/01/2022,9,1,HB_WEST,20.67
01/01/2022,9,2,HB_WEST,19.74
01/01/2022,9,3,HB_WEST,0.89
01/01/2022,9,4,HB_WEST,-0.01
01/01/2022,10,1,HB_HOUSTON,-0.21
01/01/2022,10,2,HB_HOUSTON,-0.22
01/01/2022,10,3,HB_HOUSTON,0.99
01/01/2022,10,4,HB_HOUSTON,4.26
01/01/2022,10,1,HB_NORTH,-0.07
01/01/2022,10,2,HB_NORTH,-0.07
01/01/2022,10,3,HB_NORTH,1.14
01/01/2022,10,4,HB_NORTH,4.43
01/01/2022,10,1,HB_SOUTH,-1.34
01/01/2022,10,2,HB_SOUTH,-1.4
01/01/2022,10,3,HB_SOUTH,-0.26
01/01/2022,10,4,HB_SOUTH,2.84
01/01/2022,10,1,HB_WEST,-0.02
01/01/2022,10,2,HB_WEST,-0.02
01/01/2022,10,3,HB_WEST,-0.05
01/01/2022,10,4,HB_WEST,-0.15
01/01/2022,11,1,HB_HOUSTON,20.24
01/01/2022,11,2,HB_HOUSTON,21.12
01/01/2022,11,3,HB_HOUSTON,22.08
01/01/2022,11,4,HB_HOUSTON,21.94
01/01/2022,11,1,HB_NORTH,20.4
01/01/2022,11,2,HB_NORTH,21.38
01/01/2022,11,3,HB_NORTH,22.36
01/01/2022,11,4,HB_NORTH,22.22
01/01/2022,11,1,HB_SOUTH,17.9
01/01/2022,11,2,HB_SOUTH,18.86
01/01/2022,11,3,HB_SOUTH,19.78
01/01/2022,11,4,HB_SOUTH,19.65
01/01/2022,11,1,HB_WEST,-0.47
01/01/2022,11,2,HB_WEST,-0.64
01/01/2022,11,3,HB_WEST,-1.42
01/01/2022,11,4,HB_WEST,-1.88
01/01/2022,12,1,HB_HOUSTON,22.1
01/01/2022,12,2,HB_HOUSTON,22.08
01/01/2022,12,3,HB_HOUSTON,22.39
01/01/2022,12,4,HB_HOUSTON,23.52
01/01/2022,12,1,HB_NORTH,22.38
01/01/2022,12,2,HB_NORTH,22.34
01/01/2022,12,3,HB_NORTH,22.42
01/01/2022,12,4,HB_NORTH,23.54
01/01/2022,12,1,HB_SOUTH,19.8
01/01/2022,12,2,HB_SOUTH,19.94
